type,entry_price,stop_loss,take_profit,position_size,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl_points,pnl_currency,exit_reason
BUY,2382.32,2371.26906959212,2404.4218608157607,8.06,2404.4218608157607,2024-04-15 23:30:00,closed,False,False,0,2371.26906959212,2024-04-16 09:30:00,-11.05093040788006,-89.07049908751328,SL/TP
BUY,2383.1,2372.4141360498256,2404.471727900349,8.33,2404.471727900349,2024-04-15 23:45:00,closed,False,False,0,2372.4141360498256,2024-04-16 09:30:00,-10.68586395017428,-89.01324670495175,SL/TP
BUY,2383.1,2372.4141360498256,2404.471727900349,8.33,2404.471727900349,2024-04-16 00:00:00,closed,False,False,0,2372.4141360498256,2024-04-16 09:30:00,-10.68586395017428,-89.01324670495175,SL/TP
BUY,2374.48,2374.98,2387.157014929781,13.63,2387.157014929781,2024-04-18 06:15:00,closed,True,False,0,2387.157014929781,2024-04-18 15:00:00,12.677014929780853,172.78771349291304,SL/TP
SELL,2361.01,2360.51,2345.0521632059285,11.04,2345.0521632059285,2024-04-22 10:45:00,closed,True,False,0,2345.0521632059285,2024-04-22 14:15:00,15.957836794071682,176.17451820655134,SL/TP
SELL,2326.89,2333.5278392593377,2313.614321481324,13.54,2313.614321481324,2024-04-23 01:15:00,closed,False,False,0,2333.5278392593377,2024-04-23 02:45:00,-6.637839259337852,-89.87634357143452,SL/TP
SELL,2336.3,2335.8,2314.284782485134,8.16,2314.284782485134,2024-04-22 18:00:00,closed,True,False,0,2314.284782485134,2024-04-23 04:30:00,22.01521751486598,179.64417492130642,SL/TP
SELL,2330.76,2330.26,2312.4101971874106,9.79,2312.4101971874106,2024-04-22 20:30:00,closed,True,False,0,2312.4101971874106,2024-04-23 04:30:00,18.349802812589587,179.64456953525203,SL/TP
SELL,2302.56,2314.1608395454787,2279.3583209090425,7.98,2279.3583209090425,2024-04-23 06:45:00,closed,False,False,0,2314.1608395454787,2024-04-23 08:15:00,-11.60083954547872,-92.5746995729202,SL/TP
SELL,2304.48,2303.98,2280.312037902046,7.66,2280.312037902046,2024-04-23 06:30:00,closed,True,False,0,2303.98,2024-04-23 13:45:00,0.5,3.83,SL/TP
SELL,2304.19,2303.69,2285.603734861752,9.86,2285.603734861752,2024-04-23 11:30:00,closed,True,False,0,2303.69,2024-04-23 13:45:00,0.5,4.93,SL/TP
SELL,2319.82,2327.9567837073973,2303.546432585206,11.27,2303.546432585206,2024-04-25 16:00:00,closed,False,False,0,2327.9567837073973,2024-04-25 17:30:00,-8.136783707397171,-91.70155238236612,SL/TP
BUY,2349.32,2342.9522750657475,2362.0554498685055,14.26,2362.0554498685055,2024-04-26 12:45:00,closed,False,False,0,2342.9522750657475,2024-04-26 15:15:00,-6.367724934252692,-90.8037575624434,SL/TP
BUY,2344.89,2339.449761069073,2355.7704778618545,16.69,2355.7704778618545,2024-04-26 14:45:00,closed,False,False,0,2339.449761069073,2024-04-26 16:30:00,-5.44023893092708,-90.79758775717298,SL/TP
